PRCP ID,Statistical Outlier %,Statistical Outlier Score
1000665298,4.74041,1
1000665314,1.33528,1
1000665317,6.12708,1
1000665323, 21.28488,1
1000665325, 10.25531,1
1000665330,5.92563,1
1000665354,4.49372,1
1000665357,0.77987,3
1000665362,6.52280,1
1000665370,5.04259,1
1000665390,256.68089,2
1000665392,7.08700,1
1000665402,5.23450,1
1000665403,4.30463,1
1000665409,3.85607,1
1000665412, 23.82735,1
1000665420,9.73650,1
1000665421,6.21167,1
1000665426,5.77161,1
1000665432,2.91022,1
1000665440, 44.34100,2
1000665449, 17.82499,1
1000665456, 15.24740,1
1000665470,1.91346,1
1000665473, 25.47364,1
1000665484,3.69619,1
1000665491,4.25500,1
1000665502,2.34088,1
1000665505,3.24708,1
1000665512,4.81540,1
1000665536,2.17844,1
1000665545,9.11024,1
1000665547,2.62478,1
1000665552,5.65648,1
1000665554, 34.76050,2
1000665569,1.94100,1
1000665581,1.23608,3
1000665582,5.80208,1
1000665588,8.05069,1
1000665606,2.84271,1
1000665616,2.36844,1
1000665617,2.44788,1
1000665620,4.27835,1
1000665629,7.41595,1
1000665632,4.22950,1
1000665643,4.93870,1
1000665664,1.29472,1
1000665668, 20.99592,1
1000665693,7.73106,1
1000665694,3.28197,1
1000665716,4.39992,1
1000665720,5.17475,1
1000665728,1.67224,1
1000665741, 12.59184,1
1000665748,9.56066,1
1000665749,1.37965,1
1000665768,1.98035,1
1000665774,2.64564,1
1000665776,1.50865,1
1000665777,5.06300,1
1000665780,5.13000,1
1000665792,0.76372,3
1000665845,1.75463,1
1000665847, 14.74426,1
1000665855,0.83400,3
1000665871,0.49680,3
1000665872,5.72542,1
1000665883, 13.27467,1
1000665886,0.87866,3
1000665888,6.70422,1
1000665891,8.99300,1
1000665893,3.39313,1
1000665923,3.80383,1
1000665936,0.47034,3
1000665953,5.33160,1
1000665967,1.68959,1
1000665971,4.91363,1
1000665984,1.44594,1
1000666009,4.56988,1
1000666020, 23.08468,1
1000666055, 12.24943,1
1000666056,3.66090,1
1000666071,6.30991,1
1000666077, 18.40500,1
1000666078,6.69556,1
1000666083,9.51567,1
1000666086,3.34746,1
1000666088, 27.18420,1
1000666094,267.49625,2
1000666096,2.24641,1
1000666098,0.75122,3
1000666105,4.01816,1
1000666113,0.76881,3
1000666128,0.39966,3
1000666135,9.92736,1
1000666185,5.28557,1
1000666193, 19.83169,1
1000666196,9.96536,1
1000666206,3.70873,1
1000666235,2.41894,1
1000666239, 26.49780,1
1000666243,7.36853,1
1000666248,2.09220,1
1000666257,2.07483,1
1000666268,2.95930,1
1000666285,2.38390,1
1000666287,0.66730,3
1000666293,1.53830,1
1000666302,0.22200,3
1000666306, 25.82446,1
1000666331,2.48217,1
1000666341,4.69820,1
1000666358, 60.13043,2
1000666367,9.61851,1
1000666368,9.74818,1
1000666386, 97.67838,2
1000666389, 19.78495,1
1000666394,   1282.38701,2
1000666405,123.77363,2
1000666407,6.11402,1
1000666436, 13.05974,1
1000666448,7.89610,1
1000666450, 35.92925,2
1000666462,5.67017,1
1000666463,9.24276,1
1000666474,5.22645,1
1000666475,1.95059,1
1000666477, 23.95256,1
1000666498,4.30479,1
1000666514,6.99288,1
1000666528, 18.61516,1
1000666530,590.45275,2
1000666539,5.89126,1
1000666550,5.64898,1
1000666551,2.02062,1
1000666552,8.63030,1
1000666555,6.06953,1
1000666573,4.48035,1
1000666579, 22.12315,1
1000666580,3.50600,1
1000666583, 17.59346,1
1000666595,2.24931,1
1000666596, 49.63251,2
1000666597, 15.98420,1
1000666603,1.22005,3
1000666612, 11.24886,1
1000666625,7.86293,1
1000666633,1.70568,1
1000666638, 52.13210,2
1000666654,4.09244,1
1000666676,5.49982,1
1000666695,2.69407,1
1000666711,   3623.40914,4
1000666712,0.68800,3
1000666734, 10.08377,1
1000666739,4.11716,1
1000666741,4.74164,1
1000666743,8.62553,1
1000666746,2.97815,1
1000666763, 10.09796,1
1000666775,0.32307,3
1000666776,1.52223,1
1000666785,1.96499,1
1000666795,4.72030,1
1000666808,4.63905,1
1000666830, 54.65494,2
1000666834,3.35499,1
1000666844, 78.21346,2
1000666851,1.40202,1
1000666868, 22.90853,1
1000666881,0.64552,3
1000666889, 13.27786,1
1000666891, 33.19394,1
1000666909,1.41730,1
1000666928,8.73056,1
1000666930, 19.07192,1
1000666938,3.44491,1
1000666941, 50.90765,2
1000666945, 12.88167,1
1000666961,3.28202,1
1000666970,2.38464,1
1000666976,3.28800,1
1000666981,1.20186,3
1000667007,1.18516,3
1000667014,1.79770,1
1000667022,1.96838,1
1000667025,950.84119,2
1000667031,6.64616,1
1000667037,9.84906,1
1000667038,5.73952,1
1000667042,2.25400,1
1000667044,0.75018,3
1000667060,0.15400,3
1000667072, 32.29754,1
1000667080,0.22300,3
1000667081,0.68420,3
1000667123,4.31274,1
1000667131,205.41190,2
1000667138, 21.82783,1
1000667168,8.21412,1
1000667189,6.77074,1
1000667193, 13.60882,1
1000667196,180.41109,2
1000667210, 21.85513,1
1000667213,0.34800,3
1000667220,2.33522,1
1000667242, 52.61523,2
1000667244,1.28025,1
1000667283,4.93501,1
1000667284, 18.58953,1
1000667290,2.34012,1
1000667291,7.74706,1
1000667305,1.51100,1
1000667311,205.08385,2
1000667312,2.73368,1
1000667322,0.32127,3
1000667328, 11.31674,1
1000667335,8.96992,1
1000667337,3.20600,1
1000667346,4.40177,1
1000667351,5.76991,1
1000667356,7.72411,1
1000667380,4.11892,1
1000667392, 55.17520,2
1000667402,0.46660,3
1000667414,6.35106,1
1000667417,7.05945,1
1000667422,4.65683,1
1000667429, 11.63692,1
1000667442, 11.55355,1
1000667445,1.65020,1
1000667460,4.87050,1
1000667470, 48.90455,2
1000667486, 45.24368,2
1000667488,1.55545,1
1000667490, 14.39660,1
1000667504, 13.55111,1
1000667506, 95.02233,2
1000667509,5.80293,1
1000667514,3.47977,1
1000667520,3.40620,1
1000667530,3.16546,1
1000667544,8.68979,1
1000667555,0.73520,3
1000667564,127.12930,2
1000667574, 16.03663,1
1000667575,2.64063,1
1000667583,4.83042,1
1000667609,2.73724,1
1000667632,4.53294,1
1000667637,4.08362,1
1000667639,0.76494,3
1000667664,2.75795,1
1000667699,9.31181,1
1000667701, 53.33658,2
1000667716, 11.34417,1
1000667739,2.82988,1
1000667743,4.00874,1
1000667745,5.49067,1
1000667747, 11.18015,1
1000667752, 29.50503,1
1000667753,2.59115,1
1000667770,1.18880,3
1000667772, 47.88326,2
1000667774,1.43314,1
1000667777,1.87450,1
1000667778, 19.20224,1
1000667779,4.22812,1
1000667792, 11.93707,1
1000667793,6.21228,1
1000667807,7.58182,1
1000667828,1.75001,1
1000667836, 17.31655,1
1000667842,3.32014,1
1000667853,1.93990,1
1000667856,190.48066,2
1000667866,3.42038,1
1000667870, 10.11659,1
1000667883, 12.50777,1
1000667888, 87.09389,2
1000667890,3.22603,1
1000667901, 13.06583,1
1000667906,2.73227,1
1000667911,1.48552,1
1000667913, 10.84641,1
1000667915,1.62910,1
1000667918, 15.66596,1
1000667925,8.59520,1
1000667936,7.69394,1
1000667940,5.00350,1
1000667948, 22.32411,1
1000667956,3.45272,1
1000667963, 51.25606,2
1000667969, 10.69214,1
1000667970, 24.19010,1
1000667974,4.48862,1
1000667975,0.33400,3
1000667992, 25.91602,1
1000668017, 17.02762,1
1000668022,3.52112,1
1000668036,4.11994,1
1000668041,974.38737,2
1000668088,1.44086,1
1000668099,0.50562,3
1000668113,   1760.95122,2
1000668126,4.58714,1
1000668153,   2605.22602,2
1000668156, 21.62976,1
1000668178,2.48588,1
1000668179,1.45800,1
1000668195, 26.73584,1
1000668197,4.01354,1
1000668199,2.72313,1
1000668200,5.09538,1
1000668207, 18.02050,1
1000668210,1.79616,1
1000668233,0.48040,3
1000668237,4.87186,1
1000668241, 52.06749,2
1000668242,2.05051,1
1000668244,2.29696,1
1000668251,153.62364,2
1000668257,8.14467,1
1000668262, 37.18999,2
1000668264,8.32795,1
1000668268,7.33616,1
1000668288,1.17552,3
1000668290, 11.62514,1
1000668319,5.10954,1
1000668325,1.38464,1
1000668345,1.32624,1
1000668355,1.86591,1
1000668356,4.69468,1
1000668362,2.87600,1
1000668365,2.18318,1
1000668367,2.62232,1
1000668374,1.59242,1
1000668380,5.91096,1
1000668385,3.63481,1
1000668404,4.10309,1
1000668405,6.09122,1
1000668420,1.95048,1
1000668449,9.24358,1
1000668461, 12.45536,1
1000668466,8.74070,1
1000668467,3.58746,1
1000668473,2.88698,1
1000668480,1.08120,3
1000668490,2.88813,1
1000668513, -0.63800,3
1000668530,0.96042,3
1000668538,1.56565,1
1000668543, 19.41754,1
1000668554,3.09290,1
1000668585, 11.94670,1
1000668586,6.03137,1
1000668595,0.30097,3
1000668596,2.32327,1
1000668601, 21.78906,1
1000668606,7.56793,1
1000668616,0.19910,3
1000668620,2.08497,1
1000668621, 13.13080,1
1000668626,8.23509,1
1000668628,3.76100,1
1000668637,6.14939,1
1000668640, 27.81083,1
1000668646,117.48796,2
1000668650,0.15180,3
1000668652,1.59588,1
1000668654,6.53190,1
1000668690, 12.21907,1
1000668698, 18.06031,1
1000668702,8.71288,1
1000668712,3.79644,1
1000668728, 18.28101,1
1000668729,7.38840,1
1000668731, 43.61491,2
1000668735, 47.04652,2
1000668787,3.42035,1
1000668796, 29.80809,1
1000668815,1.99977,1
1000668818, 11.86543,1
1000668825,4.85086,1
1000668827,1.68882,1
1000668834, 17.74299,1
1000668835,0.63396,3
1000668841, 12.21312,1
1000668849,0.59270,3
1000668856,3.50862,1
1000668860,4.91132,1
1000668871,5.80377,1
1000668873,8.47300,1
1000668879,4.13241,1
1000668885, 22.68568,1
1000668901, 92.44098,2
1000668915, 28.97198,1
1000668922,1.09180,3
1000668927,8.33140,1
1000668935,6.56312,1
1000668951,6.55138,1
1000668971,8.80248,1
1000669000,1.31138,1
1000669004,7.29777,1
1000669006,3.55253,1
1000669007,0.92300,3
1000669008,2.33638,1
1000669014,1.38008,1
1000669019,8.96281,1
1000669022, 10.72628,1
1000669034,3.51543,1
1000669037,5.99206,1
1000669050,3.99318,1
1000669062,1.23348,3
1000669071, 16.90947,1
1000669077, 37.67600,2
1000669097,3.22185,1
1000669110,0.77000,3
1000669117, 25.45080,1
1000669122, 16.87854,1
1000669138,0.83015,3
1000669140,0.62756,3
1000669153,1.18219,3
1000669162,3.40610,1
1000669166,7.03200,1
1000669171,2.22758,1
1000669175,0.98340,3
1000669184,1.13349,3
1000669185, 20.38111,1
1000669189,2.97720,1
1000669197,6.71269,1
1000669218,9.09727,1
1000669223,2.08881,1
1000669236,3.33380,1
1000669244,9.91510,1
1000669258, 63.89011,2
1000669271,6.61698,1
1000669286,3.02788,1
1000669287,8.25728,1
1000669291,6.17020,1
1000669318,0.59382,3
1000669358,1.54214,1
1000669362,0.49121,3
1000669364, 22.82200,1
1000669381,8.84632,1
1000669399,0.93388,3
1000669417,8.66102,1
1000669419,1.19880,3
1000669448,9.24288,1
1000669460, 13.41826,1
1000669472,5.89117,1
1000669473,0.44962,3
1000669478,3.93664,1
1000669491,1.85660,1
1000669496, 11.50580,1
1000669518,8.06059,1
1000669519,2.93713,1
1000669529,7.83002,1
1000669532,1.28120,1
1000669536,3.72815,1
1000669554,4.39764,1
1000669558, 77.45730,2
1000669571,0.23400,3
1000669578,9.56717,1
1000669591, 10.66940,1
1000669605,7.82228,1
1000669606,2.95751,1
1000669609, 10.01765,1
1000669624, 13.07375,1
1000669627,6.37298,1
1000669641,2.53046,1
1000669644, 32.66521,1
1000669650,4.16957,1
1000669654,815.40504,2
1000669659,4.42974,1
1000669660,1.08834,3
1000669680, 14.29562,1
1000669688, 19.61559,1
1000669695, 44.33022,2
1000669698,3.53328,1
1000669715,1.62561,1
1000669730,3.40100,1
1000669744,110.75900,2
1000669747,2.93418,1
1000669749,1.75222,1
1000669755,0.60830,3
1000669759,4.50692,1
1000669765,2.15658,1
1000669771,9.43408,1
1000669774,5.10379,1
1000669784,6.22162,1
1000669788,4.92584,1
1000669800,2.09234,1
1000669814, 30.45695,1
1000669815, 21.42713,1
1000669820, 44.28405,2
1000669824,0.46841,3
1000669842,5.62073,1
1000669861,5.43144,1
1000669872,3.84332,1
1000669903,3.35507,1
1000669904,3.14549,1
1000669911,0.80680,3
1000669913,8.99966,1
1000669925,7.06219,1
1000669936,3.83555,1
1000669945,0.26872,3
1000669974,6.33568,1
1000669986, 12.09227,1
1000670028,8.51000,1
1000670031,3.69740,1
1000670032,5.24511,1
1000670038, 45.11754,2
1000670040,1.17266,3
1000670046, 16.66676,1
