PRCP ID,Auto-Encoder Outlier %,Auto-Encoder Outlier Score
1000231995,0.000084,1
1000231998,0.000082,1
1000232050,0.000133,2
1000232057,0.000081,1
1000232071,0.000101,1
1000232073,0.00009,1
1000232079,0.000085,1
1000232083,0.000083,1
1000232086,0.000095,1
1000232088,0.000098,1
1000232092,0.000101,1
1000232096,0.000102,1
1000232098,0.000084,1
1000232107,0.000144,2
1000232112,0.000084,1
1000232121,0.000088,1
1000232128,0.000114,1
1000232133,0.000084,1
1000232146,0.000087,1
1000232166,0.000086,1
1000232182,0.000109,1
1000232204,0.000081,1
1000232240,0.000096,1
1000232259,0.000077,3
1000232265,0.000079,3
1000232268,0.000092,1
1000232277,0.000087,1
1000232287,0.000106,1
1000232293,0.000103,1
1000232300,0.000122,1
1000232309,0.000136,2
1000232319,0.000095,1
1000232322,0.000098,1
1000232323,0.000081,1
1000232326,0.000091,1
1000232327,0.000085,1
1000232361,0.000084,1
1000232364,0.000084,1
1000232390,0.000084,1
1000232394,0.000087,1
1000232398,0.000079,3
1000232417,0.000086,1
1000232420,0.000085,1
1000232435,0.000083,1
1000232444,0.000083,1
1000232452,0.000086,1
1000232460,0.000482,2
1000232463,0.000427,2
1000232466,0.000079,3
1000232482,0.000089,1
1000232491,0.000087,1
1000232499,0.000127,1
1000232500,0.000542,2
1000232512,0.000217,2
1000232516,0.000085,1
1000232553,0.000122,1
1000232554,0.000161,2
1000232555,0.000084,1
1000232589,0.000126,1
1000232598,0.000082,1
1000232616,0.000083,1
1000232618,0.000083,1
1000232639,0.000081,1
1000232645,0.000084,1
1000232649,0.000086,1
1000232653,0.000086,1
1000232654,0.000083,1
1000232660,0.000105,1
1000232662,0.000092,1
1000232667,0.001979,4
1000232676,0.000084,1
1000232677,0.000086,1
1000232678,0.000086,1
1000232684,0.000112,1
1000232689,0.000091,1
1000232690,0.00008,1
1000232694,0.000082,1
1000232700,0.000082,1
1000232704,0.000077,3
1000232709,0.000109,1
1000232710,0.000085,1
1000232724,0.000334,2
1000232744,0.000088,1
1000232755,0.000085,1
1000232764,0.00009,1
1000232771,0.00008,3
1000232774,0.000078,3
1000232775,0.000095,1
1000232779,0.000128,1
1000232783,0.000085,1
1000232792,0.000124,1
1000232793,0.0001,1
1000232801,0.000452,2
1000232811,0.000085,1
1000232817,0.000086,1
1000232821,0.000089,1
1000232824,0.000132,2
1000232826,0.000081,1
1000232842,0.000087,1
1000232846,0.000092,1
1000232849,0.000085,1
1000232852,0.000088,1
1000232866,0.000083,1
1000232871,0.000548,2
1000232872,0.000091,1
1000232875,0.000085,1
1000232879,0.000085,1
1000232880,0.000084,1
1000232886,0.000083,1
1000232895,0.000083,1
1000232906,0.000087,1
1000232910,0.000093,1
1000232911,0.000094,1
1000232942,0.000089,1
1000232948,0.000163,2
1000232957,0.000265,2
1000232960,0.000093,1
1000232972,0.000085,1
1000232997,0.000099,1
1000233009,0.000084,1
1000233011,0.000081,1
1000233012,0.000081,1
1000233017,0.000086,1
1000233028,0.000083,1
1000233039,0.000084,1
1000233058,0.000229,2
1000233060,0.000087,1
1000233061,0.0001,1
1000233068,0.000086,1
1000233071,0.000087,1
1000233074,0.000085,1
1000233076,0.000087,1
1000233092,0.000187,2
1000233096,0.000091,1
1000233100,0.00009,1
1000233101,0.000077,3
1000233104,0.000095,1
1000233107,0.000123,1
1000233108,0.000088,1
1000233111,0.000569,2
1000233118,0.000088,1
1000233166,0.000085,1
1000233188,0.000104,1
1000233197,0.000082,1
1000233206,0.000085,1
1000233210,0.000176,2
1000233258,0.000089,1
1000233263,0.00009,1
1000233272,0.000092,1
1000233275,0.000082,1
1000233279,0.000197,2
1000233289,0.000085,1
1000233310,0.00008,1
1000233346,0.000085,1
1000233348,0.000084,1
1000233349,0.000081,1
1000233350,0.000101,1
1000233389,0.000126,1
1000233412,0.00009,1
1000233425,0.000242,2
1000233429,0.00008,1
1000233433,0.000078,3
1000233436,0.000156,2
1000233440,0.00009,1
1000233441,0.000086,1
1000233449,0.000081,1
1000233468,0.000184,2
1000233473,0.00013,1
1000233488,0.00008,3
1000233525,0.000085,1
1000233540,0.000088,1
1000233541,0.000086,1
1000233549,0.000077,3
1000233558,0.000082,1
1000233569,0.000125,1
1000233573,0.000088,1
1000233577,0.000077,3
1000233578,0.000081,1
1000233605,0.00009,1
1000233613,0.000088,1
1000233641,0.000083,1
1000233646,0.000926,4
1000233647,0.000089,1
1000233665,0.000084,1
1000233677,0.000088,1
1000233678,0.000086,1
1000233679,0.000225,2
1000233692,0.000084,1
1000233713,0.000083,1
1000233731,0.000537,2
1000233740,0.000082,1
1000233788,0.000088,1
1000233809,0.000084,1
1000233813,0.000082,1
1000233816,0.000085,1
1000233818,0.000085,1
1000233823,0.000171,2
1000233842,0.000076,3
1000233844,0.000089,1
1000233853,0.00011,1
1000233854,0.000089,1
1000233868,0.000468,2
1000233899,0.000087,1
1000233907,0.000119,1
1000233913,0.000095,1
1000233915,0.000093,1
1000233940,0.000112,1
1000233941,0.000087,1
1000233945,0.000081,1
1000233951,0.000093,1
1000233953,0.000102,1
1000233976,0.000089,1
1000233977,0.000077,3
1000233985,0.000147,2
1000233992,0.000079,3
1000234000,0.000085,1
1000234004,0.000086,1
1000234013,0.000096,1
1000234015,0.000078,3
1000234016,0.000333,2
1000234021,0.000083,1
1000234023,0.0001,1
1000234043,0.00009,1
1000234045,0.000078,3
1000234072,0.000132,2
1000234077,0.000092,1
1000234092,0.000131,2
1000234111,0.000287,2
1000234141,0.00011,1
1000234145,0.000079,3
1000234156,0.000089,1
1000234160,0.00037,2
1000234168,0.000086,1
1000234173,0.000109,1
1000234174,0.000087,1
1000234178,0.000088,1
1000234193,0.000087,1
1000234194,0.000128,1
1000234202,0.000093,1
1000234225,0.000137,2
1000234230,0.000082,1
1000234238,0.000083,1
1000234239,0.000086,1
1000234260,0.00009,1
1000234324,0.000077,3
1000234330,0.000084,1
1000234332,0.000079,3
1000234349,0.00008,3
1000234357,0.000079,3
1000234375,0.000083,1
1000234377,0.000087,1
1000234378,0.000081,1
1000234386,0.000086,1
1000234389,0.00008,1
1000234392,0.000115,1
1000234397,0.00008,1
1000234413,0.0001,1
1000234422,0.000082,1
1000234428,0.000109,1
1000234432,0.000084,1
1000234434,0.000084,1
1000234436,0.000172,2
1000234440,0.000139,2
1000234441,0.000141,2
1000234465,0.000087,1
1000234471,0.000081,1
1000234476,0.000087,1
1000234481,0.000089,1
1000234483,0.000084,1
1000234522,0.000079,3
1000234526,0.000086,1
1000234528,0.000079,3
1000234560,0.000091,1
1000234571,0.000079,3
1000234579,0.000079,3
1000234581,0.00008,1
1000234585,0.000092,1
1000234599,0.000088,1
1000234601,0.000077,3
1000234611,0.000084,1
1000234618,0.000085,1
1000234621,0.000085,1
1000234622,0.000089,1
1000234623,0.000083,1
1000234637,0.000088,1
1000234643,0.000083,1
1000234690,0.000084,1
1000234694,0.000096,1
1000234695,0.00008,3
1000234712,0.000085,1
1000234724,0.000082,1
1000234729,0.000111,1
1000234737,0.000088,1
1000234740,0.000085,1
1000234745,0.000107,1
1000234746,0.000088,1
1000234747,0.000081,1
1000234748,0.000108,1
1000234752,0.000093,1
1000234755,0.000086,1
1000234757,0.000091,1
1000234761,0.000094,1
1000234789,0.000088,1
1000234790,0.000084,1
1000234794,0.000297,2
1000234800,0.000083,1
1000234803,0.000083,1
1000234828,0.000085,1
1000234859,0.000083,1
1000234863,0.000082,1
1000234873,0.000089,1
1000234878,0.000122,1
1000234882,0.000085,1
1000234896,0.000098,1
1000234905,0.000085,1
1000234919,0.000477,2
1000234921,0.000088,1
1000234929,0.000083,1
1000234931,0.000085,1
1000234934,0.000078,3
1000234937,0.000324,2
1000234952,0.000087,1
1000234957,0.00008,1
1000234959,0.000083,1
1000234962,0.000089,1
1000234979,0.000091,1
1000234998,0.000609,2
1000234999,0.00008,1
1000235007,0.000078,3
1000235012,0.000091,1
1000235013,0.000309,2
1000235029,0.000089,1
1000235047,0.000087,1
1000235068,0.000076,3
1000235069,0.000102,1
1000235096,0.000082,1
1000235098,0.000087,1
1000235128,0.000088,1
1000235139,0.000086,1
1000235145,0.000097,1
1000235150,0.000084,1
1000235158,0.000087,1
1000235174,0.000091,1
1000235178,0.000078,3
1000235186,0.000086,1
1000235191,0.000089,1
1000235193,0.000099,1
1000235200,0.000078,3
1000235227,0.000083,1
1000235239,0.000082,1
1000235246,0.000101,1
1000235251,0.000082,1
1000235257,0.000078,3
1000235266,0.00016,2
1000235270,0.00009,1
1000235278,0.000085,1
1000235279,0.000079,3
1000235299,0.000089,1
1000235311,0.000122,1
1000235319,0.000082,1
1000235320,0.000089,1
1000235325,0.000108,1
1000235339,0.000083,1
1000235344,0.000089,1
1000235353,0.000084,1
1000235357,0.000085,1
1000235359,0.000082,1
1000235360,0.000083,1
1000235398,0.00008,1
1000235403,0.000085,1
1000235410,0.000088,1
1000235421,0.000124,1
1000235438,0.000088,1
1000235460,0.000099,1
1000235471,0.000087,1
1000235475,0.000084,1
1000235481,0.00008,3
1000235485,0.000079,3
1000235493,0.000087,1
1000235518,0.000089,1
1000235519,0.000094,1
1000235523,0.000088,1
1000235530,0.000083,1
1000235547,0.000082,1
1000235555,0.000089,1
1000235559,0.000086,1
1000235565,0.000086,1
1000235577,0.000078,3
1000235581,0.000078,3
1000235592,0.000091,1
1000235595,0.000083,1
1000235603,0.000084,1
1000235608,0.000084,1
1000235611,0.000082,1
1000235613,0.00011,1
1000235636,0.000085,1
1000235651,0.000124,1
1000235653,0.000116,1
1000235663,0.000084,1
1000235678,0.000105,1
1000235682,0.000088,1
1000235686,0.00009,1
1000235687,0.000083,1
1000235690,0.000089,1
